Interface                      IP-Address      Status                Protocol
Loopback0                      51.51.51.51     Up                    Up
MgmtEth0/RSP0/CPU0/0           1.20.30.40      Up                    Up
MgmtEth0/RSP0/CPU0/1           unassigned      Down                  Down
MgmtEth0/RSP1/CPU0/0           unassigned      Up                    Up
MgmtEth0/RSP1/CPU0/1           unassigned      Down                  Down
HundredGigE0/1/0/0             unassigned      Shutdown              Down
HundredGigE0/1/0/1             unassigned      Shutdown              Down
TenGigE0/2/0/0                 unassigned      Down                  Down
TenGigE0/2/0/1                 unassigned      Down                  Down
TenGigE0/2/0/2                 unassigned      Down                  Down
